name,icd_code,description,is_active
"Chronic Essential Hypertension","I10.2","Primary high blood pressure requiring daily BP tracking with chronic clinical phase.",true
"Acute Essential Hypertension","I10.0","Primary high blood pressure requiring daily BP tracking with acute presentation.",true
"Mild Essential Hypertension","I10.1","Primary high blood pressure requiring daily BP tracking with mild severity scale.",true
"Severe Essential Hypertension","I10.3","Primary high blood pressure requiring daily BP tracking with severe clinical presentation.",true
"Recurrent Essential Hypertension","I10.4","Primary high blood pressure requiring daily BP tracking with frequent recurrent episodes.",true
"Chronic Secondary Hypertension","I15.2","Elevated BP secondary to renovascular or endocrine cause with chronic clinical phase.",true
"Acute Secondary Hypertension","I15.0","Elevated BP secondary to renovascular or endocrine cause with acute presentation.",true
"Mild Secondary Hypertension","I15.1","Elevated BP secondary to renovascular or endocrine cause with mild severity scale.",true
"Severe Secondary Hypertension","I15.3","Elevated BP secondary to renovascular or endocrine cause with severe clinical presentation.",true
"Recurrent Secondary Hypertension","I15.4","Elevated BP secondary to renovascular or endocrine cause with frequent recurrent episodes.",true
"Chronic Coronary Artery Disease","I25.10.2","Narrowing of coronary arteries, evaluate lipid panel and advise statins with chronic clinical phase.",true
"Acute Coronary Artery Disease","I25.10.0","Narrowing of coronary arteries, evaluate lipid panel and advise statins with acute presentation.",true
"Mild Coronary Artery Disease","I25.10.1","Narrowing of coronary arteries, evaluate lipid panel and advise statins with mild severity scale.",true
"Severe Coronary Artery Disease","I25.10.3","Narrowing of coronary arteries, evaluate lipid panel and advise statins with severe clinical presentation.",true
"Recurrent Coronary Artery Disease","I25.10.4","Narrowing of coronary arteries, evaluate lipid panel and advise statins with frequent recurrent episodes.",true
"Chronic Stable Angina Pectoris","I20.9.2","Exertional chest discomfort relieved by rest or sublingual nitroglycerin with chronic clinical phase.",true
"Acute Stable Angina Pectoris","I20.9.0","Exertional chest discomfort relieved by rest or sublingual nitroglycerin with acute presentation.",true
"Mild Stable Angina Pectoris","I20.9.1","Exertional chest discomfort relieved by rest or sublingual nitroglycerin with mild severity scale.",true
"Severe Stable Angina Pectoris","I20.9.3","Exertional chest discomfort relieved by rest or sublingual nitroglycerin with severe clinical presentation.",true
"Recurrent Stable Angina Pectoris","I20.9.4","Exertional chest discomfort relieved by rest or sublingual nitroglycerin with frequent recurrent episodes.",true
"Chronic Unstable Angina","I20.0.2","New-onset or accelerating chest pain at rest, urgent cardiac evaluation with chronic clinical phase.",true
"Acute Unstable Angina","I20.0.0","New-onset or accelerating chest pain at rest, urgent cardiac evaluation with acute presentation.",true
"Mild Unstable Angina","I20.0.1","New-onset or accelerating chest pain at rest, urgent cardiac evaluation with mild severity scale.",true
"Severe Unstable Angina","I20.0.3","New-onset or accelerating chest pain at rest, urgent cardiac evaluation with severe clinical presentation.",true
"Recurrent Unstable Angina","I20.0.4","New-onset or accelerating chest pain at rest, urgent cardiac evaluation with frequent recurrent episodes.",true
"Chronic Congestive Heart Failure","I50.9.2","Impaired myocardial contractility, monitor daily weight and peripheral edema with chronic clinical phase.",true
"Acute Congestive Heart Failure","I50.9.0","Impaired myocardial contractility, monitor daily weight and peripheral edema with acute presentation.",true
"Mild Congestive Heart Failure","I50.9.1","Impaired myocardial contractility, monitor daily weight and peripheral edema with mild severity scale.",true
"Severe Congestive Heart Failure","I50.9.3","Impaired myocardial contractility, monitor daily weight and peripheral edema with severe clinical presentation.",true
"Recurrent Congestive Heart Failure","I50.9.4","Impaired myocardial contractility, monitor daily weight and peripheral edema with frequent recurrent episodes.",true
"Chronic Systolic Heart Failure","I50.20.2","Heart failure with reduced ejection fraction (HFrEF) with chronic clinical phase.",true
"Acute Systolic Heart Failure","I50.20.0","Heart failure with reduced ejection fraction (HFrEF) with acute presentation.",true
"Mild Systolic Heart Failure","I50.20.1","Heart failure with reduced ejection fraction (HFrEF) with mild severity scale.",true
"Severe Systolic Heart Failure","I50.20.3","Heart failure with reduced ejection fraction (HFrEF) with severe clinical presentation.",true
"Recurrent Systolic Heart Failure","I50.20.4","Heart failure with reduced ejection fraction (HFrEF) with frequent recurrent episodes.",true
"Chronic Diastolic Heart Failure","I50.30.2","Heart failure with preserved ejection fraction (HFpEF) with chronic clinical phase.",true
"Acute Diastolic Heart Failure","I50.30.0","Heart failure with preserved ejection fraction (HFpEF) with acute presentation.",true
"Mild Diastolic Heart Failure","I50.30.1","Heart failure with preserved ejection fraction (HFpEF) with mild severity scale.",true
"Severe Diastolic Heart Failure","I50.30.3","Heart failure with preserved ejection fraction (HFpEF) with severe clinical presentation.",true
"Recurrent Diastolic Heart Failure","I50.30.4","Heart failure with preserved ejection fraction (HFpEF) with frequent recurrent episodes.",true
"Chronic Atrial Fibrillation","I48.91.2","Irregularly irregular cardiac rhythm, evaluate stroke risk and anticoagulant therapy with chronic clinical phase.",true
"Acute Atrial Fibrillation","I48.91.0","Irregularly irregular cardiac rhythm, evaluate stroke risk and anticoagulant therapy with acute presentation.",true
"Mild Atrial Fibrillation","I48.91.1","Irregularly irregular cardiac rhythm, evaluate stroke risk and anticoagulant therapy with mild severity scale.",true
"Severe Atrial Fibrillation","I48.91.3","Irregularly irregular cardiac rhythm, evaluate stroke risk and anticoagulant therapy with severe clinical presentation.",true
"Recurrent Atrial Fibrillation","I48.91.4","Irregularly irregular cardiac rhythm, evaluate stroke risk and anticoagulant therapy with frequent recurrent episodes.",true
"Chronic Atrial Flutter","I48.92.2","Macro-reentrant atrial tachycardia, monitor rate and rhythm control with chronic clinical phase.",true
"Acute Atrial Flutter","I48.92.0","Macro-reentrant atrial tachycardia, monitor rate and rhythm control with acute presentation.",true
"Mild Atrial Flutter","I48.92.1","Macro-reentrant atrial tachycardia, monitor rate and rhythm control with mild severity scale.",true
"Severe Atrial Flutter","I48.92.3","Macro-reentrant atrial tachycardia, monitor rate and rhythm control with severe clinical presentation.",true
"Recurrent Atrial Flutter","I48.92.4","Macro-reentrant atrial tachycardia, monitor rate and rhythm control with frequent recurrent episodes.",true
"Chronic Supraventricular Tachycardia","I47.1.2","Paroxysmal SVT, advise vagal maneuvers and evaluate for beta-blockers with chronic clinical phase.",true
